,店名,类型,地址,评论数,人均,口味,环境,服务,特色菜,经度,纬度
194,添椒火锅(三里屯店),火锅,南三里屯路1号通盈中心4层4-5室,1447,146,9,9.2,9,阿坝州毛肚 招牌手打虾滑,116.4488118,39.93078739
195,井格重庆火锅(五道口店),火锅,成府路29号五道口国际食尚苑,1098,121,9,8.4,8.7,鲜鸭血 井格毛肚,116.3323532,39.99204416
196,京门老爆三(亦庄店),火锅,亦庄镇晓康东里三羊生活广场4楼,819,100,9.1,9.1,8.8,水爆羊肚丝 手切精选羊腿肉,116.5204774,39.82119248
197,古铜老院爆肚涮肉(双井店),火锅,东三环南路48号,1765,107,9,8.8,8.4,手切鲜羊肉 铜锅涮肉（鸳鸯）,116.4559012,39.88798217
198,铁瓷涮肉(云岗店),火锅,云岗路148号,76,102,9,9,8.8,铁瓷滩羊肉 芝麻烧饼,116.1640925,39.80657482
199,馋爷·铜炉蛙锅(三里屯店),火锅,三里屯路33号3.3大厦四层4007室,470,118,7.8,8.3,7.9,香辣虾邂逅蛙 肥肠牛蛙锅,116.4485803,39.93549677
200,小龙坎老火锅(方庄店),火锅,方庄芳古园一区29号楼二层,1229,144,8.8,9.1,8.7,鲜毛肚 红糖糍粑,116.4186214,39.86472891
201,一夜串红串串香,火锅,百子湾西里甲108号楼1层,1391,68,8.7,9,8.9,夺命牛肉 红糖糍粑,116.4931039,39.89842137
202,钢管厂五区小郡肝火锅串串香(工体店),火锅,工人体育场东路中国红街1号楼3层,338,111,8.7,8.4,8.4,特色小郡肝 麻辣牛肉串,116.4445159,39.93171571
203,蜀渝你的串说(林大店),火锅,清华东路35号林业大学科贸楼一层102号,715,67,9.1,9.1,9.1,红糖糍粑 高汤串串,116.3392251,39.99964145
204,鸦儿李记(花市店),火锅,西花市大街80-3,918,56,8.8,8.5,7.9,芝麻烧饼 羊肉串,116.41727,39.89562273
205,斗川火锅(鼓楼桥店),火锅,旧鼓楼外大街68号,963,119,9,9.1,9.2,小酥肉 麻辣牛肉,116.3878073,39.9485338
206,有范儿串串香火锅(丰益桥店),火锅,丰管路甲一号,1677,78,8.9,8.7,8.8,麻辣牛肉串 麻辣牛肉,116.308183,39.85695792
207,喜洋洋老北京涮肉,火锅,北洼路南口90号平房,145,76,9.2,8.1,9.2,高钙羊肉 芝麻酱,116.2953911,39.92453419
208,泉月火锅(艺海国际店),火锅,皂君庙路2号艺海国际商务会馆,752,117,9,9.3,9.1,原味嫩牛肉 手切鲜羊肉,116.3291325,39.96254315
209,有范儿串串香火锅(北苑店),火锅,北苑路18号院3号楼1层1-101号,283,80,8.8,8.5,8.9,麻辣牛肉 鸡肉串,116.4079842,40.04222197
210,串巷子串串香,火锅,石佛营路16号院1号楼101内107,225,66,9,8.9,9,冷锅串串 红糖糍粑冰粉,116.4961466,39.92732946
211,卜算子·重庆老灶火锅(石景山鲁谷店),火锅,鲁谷路紫御长安136号二层,60,81,9.1,9.1,9.1,算子嫩牛肉 现炸酥肉,116.2061427,39.90192112
212,老诚一锅(五棵松店),火锅,西四环金沟河东路9号,1075,101,9.1,8.7,8.9,羊蝎子 金银馒头,116.2723686,39.9167122
213,正清园涮肉,火锅,玉带河东街346号,92,86,9.1,9,9,手切鲜羊菲力 虾滑,116.6609153,39.89873354
214,阿丽斑鱼庄(永定路店),火锅,永定路88号西点茂商场3层,2010,108,9,9,8.4,斑鱼片 丽江捞汁鱼皮,116.2591911,39.90405533
215,湊湊火锅·茶憩(大兴绿地缤纷城店),火锅,金星西路5号15号院1号楼群绿地缤纷城Ⅱ期3层28、29号,890,136,9,9.2,8.8,大红袍鲜奶盖茶 台式麻辣锅,116.3262742,39.76321639
216,K泰??泰式火锅??冰城烧烤,火锅,百子湾路29号,1430,152,8.5,8.7,8.1,冬阴功锅底 椰奶冻,116.4703533,39.89942257
217,小龙坎老火锅(东直门店),火锅,东直门内大街258号,1236,142,8.6,8.6,8.6,红糖糍粑 冰球鹅肠,116.4123309,39.93940911
218,常赢三兄弟涮肉(燕莎店),火锅,三元东桥三源里小区21号楼,1211,121,9,7.8,8,烤羊肉串 铜锅涮肉,116.4487551,39.95104375
219,黑武士·正宗台湾火锅,火锅,西大望路1号温特莱中心A座底商103,610,214,9,9,9.1,芋头排骨麻辣鸳鸯锅 炸油条,116.4706531,39.91204358
220,火炉火(东源大厦店),日本菜,成府路35号东源大厦6楼西侧,12727,85,8.6,8.4,8.3,芝士 金枪鱼饭团,116.3304625,39.99204066
221,黄门老灶火锅(工体直营店),火锅,工人体育场北路50号,545,125,9,9.1,8.8,黄门嫩牛肉 大脸毛肚,116.4394883,39.93024706
222,新辣道鱼火锅(九龙山合生汇店),火锅,西大望路和广渠路交叉口东北角合生汇商场5楼,747,106,9,9,9,蔬菜自助 红汤梭边鱼锅,116.474136,39.89277242
223,唇辣号重庆老火锅(双榆树店),火锅,中关村双榆树街道知春里九号楼东侧,528,114,9,9.1,9.1,巴蜀嫩牛肉 鸭血,116.3142501,39.97158287
224,京门七品鱼(方庄店),火锅,芳群路芳群园2区甲20号楼,297,78,8.7,8.3,8.6,贴饼子 豆腐,116.4210913,39.86105128
225,肆月河豚??原河豚先生(龙德广场店),自助餐,立汤路186号龙德广场5层,734,183,8.2,8.7,8.9,红烧河豚 豚鱼佛跳墙,116.4090505,40.05788465
226,小红门港式海鲜火锅(丽都店),火锅,芳园西路2号2楼和乔丽晶西门对面,119,316,9.2,9.1,9.3,海味浓鸡汤 招牌雪花牛肉,116.4766431,39.97423801
227,京城第一羯(西城店),火锅,前门西河沿街67号,1249,83,9,7.7,8.1,羊蝎子羊排 老北京羊蝎子,116.38712,39.89785111
228,京虎门爆肚涮肉(角门东店),火锅,角门北路6号衡水大厦底商,486,92,9.2,9.1,9,手切鲜羊后腿肉 水爆鲜牛百叶,116.3765867,39.84818235
229,重庆地瓜老火锅(广渠门店),火锅,广渠门内大街80号通正国际大厦2楼（麦当劳东侧）,460,123,9,9.1,9.1,地瓜老肉片 鲜毛肚,116.4224484,39.89150057
230,王家渡火锅店(棕榈泉店),火锅,朝阳公园南路8号棕榈泉生活广场3楼,3258,156,8.8,9,8.4,番茄锅底 自制虾滑,116.4725707,39.93119438
231,鲜牛记潮汕牛肉火锅(朝阳旗舰店),火锅,西大望路甲23号珠江帝景B区中国银行东50米,1927,135,8.9,8.7,8.4,吊龙 牛筋丸,116.471674,39.89045029
232,醉麻辣(中国红街店),火锅,工体东路丙2号中国红街美林大厦6号楼2层206,2667,92,8.8,8.8,8.5,老妈蹄花 冒脑花,116.4444409,39.93007662
233,烹然四季椰子鸡火锅(乐成中心店),火锅,东三环中路20号乐成中心Space3二层,280,137,8.5,9,8.8,文昌鸡 原味椰子鸡,116.4563782,39.89356258
234,小木船潮汕牛肉火锅(上地店),火锅,马连洼北路与竹园中街交叉口西山华府30号楼一层102号,995,109,8.9,9.1,9,手捶牛肉丸锅底 吊龙,116.2744248,40.03202636
235,朝江红重庆老灶火锅(石景山盛景国际店),火锅,石景山路八角盛景国际B1,115,101,9.1,9.1,9.2,朝江红招牌红油锅 自制手工鲜虾滑,116.1949805,39.9069344
236,和记潮汕牛肉火锅(总店),火锅,利泽西二路314号二层,1130,121,8.9,8.9,8.7,吊龙 生牛肉丸,116.4569315,40.00812565
237,川成串 串串香火锅(磨房北里店),火锅,磨房北里215号楼川成串,2562,86,9,8.9,8.9,牛肉串 麻辣锅底,116.4654269,39.88125255
238,鲜牛记潮汕牛肉火锅(东直门店),火锅,东直门外大街42号宇飞大厦2层,982,122,8.8,8.9,8.7,吊龙肉 雪花牛肉,116.4312018,39.93874627
239,汕头八合里海记牛肉店(国贸店),火锅,双井桥百子湾路37号,2170,124,9,8.3,7.8,手打牛筋丸 吊龙,116.4568678,39.89958046
240,港記牌坊打边炉·花胶鸡火锅,火锅,百子湾路29号,195,189,8.7,8.4,7.9,花胶鸡锅底 精品肥牛,116.4703533,39.89942257
241,高兴壹锅潮汕鲜牛肉火锅(北京总店),火锅,太平桥路44-1号,1860,110,9.1,9.1,9.2,现打生牛丸 潮汕炸腐皮,116.3120851,39.88273207
242,蜀签传成都串串(崇文门店),火锅,崇文门外大街11号,1509,73,8.8,8.3,8.4,招牌串串 冒鸭血,116.4119826,39.89313923
243,愚掌门鱼火锅(西坝河店),火锅,西坝河七圣路光熙门北里甲26号,1955,107,8.8,8.4,8.2,招牌斑鱼片 酸菜斑鱼锅,116.4293881,39.96578133
244,大鱼海塘,火锅,崇文门外大街搜秀商城7层,587,86,8.8,9,9,巴沙鱼 大鱼海塘锅,116.4129823,39.89510878
245,重庆地瓜老火锅(陶然桥店),火锅,南二环金泰绿洲酒店一层,760,128,9.1,8.8,8.9,地瓜老肉片 鲜毛肚,116.3800736,39.86869935
246,大成醉串串(蒲黄榆店),火锅,芳古园一区29号蒲黄榆地铁F口旁边,1106,61,9,8.2,8.3,串串儿 水果冰粉,116.4217217,39.86501252
247,小渝府的串,火锅,学院南路51号,617,62,9,9,9,冷锅串 冒脑花,116.3309954,39.95663917
248,102蹄花火锅(苏州桥店),火锅,北三环西路甲60号,1569,72,9,8.8,8.9,木瓜猪蹄锅 鲜虾滑,116.3087984,39.9630419
249,虎鸽传奇手抓海鲜,烧烤,头发胡同18号,754,132,8.7,8,8,红烧脆皮乳鸽 传奇土豆片,116.3676421,39.90117581
250,重庆疯子火锅,火锅,裕安路16号,392,92,9.1,9,9.1,疯子嫩牛肉 屠场鲜毛肚,116.5381096,40.09571652
251,大成醉串串(双井店),火锅,东三环中路55号富力城B区西区星光大道商业街16号,546,78,9,8.7,9.2,琅琊土豆 红糖糍粑,116.5226257,39.91516207
252,大成串串香(大成路店),火锅,大成路青塔大成里芳园4号楼,560,85,8.8,8.9,8.7,卡通牛油锅底 麻辣牛肉,116.25307,39.88854119
253,有范儿串串香火锅(通州土桥店),火锅,砖厂南里40号楼1层101号,125,88,8.3,8.5,8.8,私房嫩牛肉 麻辣牛肉,116.6921348,39.87101034
254,鱼之椒(西四店),火锅,西四南大街34号,486,90,9.1,8.4,8.6,椒麻鱼锅 杏仁豆腐,116.3674994,39.92037729
255,福口居(北太平庄店),火锅,北太平庄北三环中路40号,5864,80,8.4,8.2,8.4,秘制酸梅汤 极品羊肉,116.3576506,39.96412875
256,码头汇,火锅,太平桥大街248号,723,102,9.1,9,8.8,巴掌毛肚 武隆红苕粉,116.3602846,39.9079586
257,菜町寿喜烧(世贸天阶店),日本菜,光华路世贸天阶北楼2楼206,114,125,8.3,8.6,8.2,菜町特色寿喜烧 朝一鸡蛋,116.4465583,39.91549145
258,深夜在成都??串串香,火锅,成府路华清嘉园1号楼底商,1438,73,8.6,9,8.4,特色串串 狼牙土豆,116.3305401,39.99096739
259,菁喜老火锅(望京店),火锅,河荫中路东2号,2027,124,8.7,8.9,8.7,毛肚 现炸酥肉,116.4658669,40.00406358
260,八月半酸汤火锅(望京店),火锅,望京西路41号梦秀欢乐广场4楼,696,124,9,9.2,9.1,酸汤锅底 鸭嘴鱼,116.450689,39.99319372
261,银滩金汤·密味(三里屯soho店),火锅,工人体育场北路8号三里屯soho二号楼三层311-312号,1426,157,9.1,8.9,9.1,竹荪 鲜活鲍鱼,116.4266627,39.92089596
262,黄门老灶火锅(簋街店),火锅,东直门内大街232号,1606,118,8.8,8.2,8.4,嫩牛肉 屠场鲜鸭血,116.413422,39.93940996
263,蓝钻美食自助·海鲜自助火锅,自助餐,鲁谷路74号瑞达大厦3楼,8252,128,7.9,8.1,8.3,酥皮奶油蘑菇汤 菲力牛排,116.2392856,39.90188012
264,马西里厕所串串,火锅,天奕美食城地下一层,658,71,8.8,8.6,9.1,秘制牛肉串 冒脑花,116.359222,39.84378796
265,齐海鱼圣,火锅,四惠桥东通惠河畔南岸环岛处西南角,2426,125,8.9,8.9,8.9,石斑鱼丸 石斑鱼骨汤锅底,116.4863542,39.9069269
266,京西第一涮(云岗店),火锅,长青路佃起村文化活动中心南行100米,619,95,9.1,9,8.5,羊肉串 精选羊肉,116.1699734,39.79558833
267,蛙迪卡烹蛙馆·火锅(巨山店),火锅,巨山路21号,76,85,9.1,9.1,9.1,馋嘴蛙 小龙虾,116.220676,39.9477326
268,沸炉鲜货火锅·小龙虾(港龙店),火锅,回龙观西大街港龙商业街18号,2862,97,9,9,9,金牌毛肚 现炸小酥肉,116.2981421,40.0888252
269,重庆渝善老火锅,火锅,西花市大街126号速8酒店四层,602,113,8.8,8.7,8.7,麻辣牛肉 鲜毛肚,116.413739,39.89557295
270,有范儿串串香火锅(刘家窑店),火锅,南三环东路25号,1195,76,9,8.3,8.6,鸳鸯锅底 麻辣牛肉,116.4198478,39.8574122
271,蜀一数二,火锅,百子湾路29号院内,409,71,9.2,9,9,特色小土豆 冷吃牛肉,116.4731667,39.89939707
272,老门框爆肚涮肉(金宝街店),火锅,金宝街东段59号,683,116,8.8,7.9,8.1,爆肚 老门框手切鲜肉,116.4232466,39.9144202
273,FROM FARM八亩农场(三里屯店),日本菜,三里屯北路19号太古里南区3楼,3780,135,8.5,8.6,8.5,胶原蛋白鲜蔬美人锅 白胡椒超美人锅套餐,116.4485519,39.93396491
274,王家渡火锅店(悦荟万科广场店),火锅,南环路10号院1号楼悦荟万科广场7层,1568,125,9,9.1,8.7,自制虾滑 鸳鸯锅底,116.2330874,40.21084826
275,三公潮汕鲜牛肉火锅,火锅,工人体育场北路世茂工三13号院1号楼底商,945,127,9.1,8.3,8.6,潮汕牛肉丸 吊龙伴,116.4431334,39.93465815
276,有范儿串串香火锅(五道口店),火锅,展春园西路2号蓟鑫大厦内南侧一层拐角处,140,76,8.9,8.2,8.3,麻辣牛肉 私房嫩牛肉,116.3338847,39.98690966
277,假如在成都森林烧烤(朝阳店),烧烤,东四环中路东区国际东门南行30米,547,86,8.2,8.5,8.5,羊肉串 烤五花肉,116.4825175,39.91229971
278,怡园四季椰子鸡火锅,火锅,朝外大街中骏世界城E座3楼,1586,135,8.1,8.8,8.5,椰子鸡 椰子冻,116.4462377,39.91641716
279,小牛海记潮汕牛肉店(永定路店),火锅,永定路28号,886,100,9.1,8.9,9,手捶牛肉丸锅底 吊龙,116.2588173,39.91891073
280,快来椰子鸡火锅(北京apm店),火锅,王府井大街138号北京apmA区6层608,1398,125,8.3,8.8,8.5,腊味煲仔饭 手打牛筋丸,116.4051635,39.91244797
281,鲜潭蒸汽石锅鱼(龙德广场店),云南菜,立汤路168号,592,124,8.9,9.1,9,原汁原味锅底 江团,116.4086123,40.05879132
282,老诚一锅羊蝎子(王府井直营店),火锅,报房胡同101号,727,95,9,8.3,8.3,羊蝎子 抻面,116.4055571,39.92059217
283,乐吃串串锅(六里桥店),火锅,太平桥西路华源一里3号4号塔楼底商2号,703,80,8.7,9,8.7,香辣牛肉 毛肚,116.3088611,39.88094899
284,川成串 串串香火锅(西大望路店),火锅,西大望路27号院,220,82,9,9.1,8.8,鸳鸯锅 飘香牛肉,116.475558,39.88587768
285,阳坊大都涮羊肉(定慧寺店),火锅,阜成路定慧北里23号蓝宏中心东侧,927,106,9.1,9.1,9.1,大都招牌肉 手切鲜羊肉,116.2739408,39.92362046
286,沽酒小铺,火锅,宋庄镇小堡村国防艺术区内,263,67,9.1,9.1,9,焦香小土豆 干拌千层肚,116.7176698,39.95006436
287,锅说一次用油老火锅(五棵松店),火锅,复兴路69号院2号五棵松华熙LIVE·hi-up北区B1层151号,1667,140,8.6,8.5,8,比脸大的毛肚 霸道麻辣牛肉,116.2725555,39.90720979
288,京门老爆三(望京店),火锅,广顺北大街河荫中路2号,352,107,8.9,9,8.7,水爆牛百叶 羊肚领,116.4653799,40.00409719
289,德记·北京,火锅,延静里中街,183,95,9.1,9.1,8.9,串串 烤潮汕牛丸,116.4786844,39.91773254
290,源味屋韩式火锅&炸鸡,韩国料理,阜石路今鼎时代广场C座南侧底商,834,68,8.9,8.9,9.1,黄金芝士炸鸡 部队火锅,116.1893489,39.92452906
291,猪小嫚爱野菜海鲜放题(槐房万达店),日本菜,南苑西路39号槐房万达广场一层珠宝区27号猪小嫚,581,154,8.4,8.9,8.2,厄瓜多尔白虾 澳洲和牛,116.3615759,39.8131498
292,七八冷面(欢乐谷店),韩国料理,金蝉北路金蝉欢乐园2号院甲1号楼维吉奥广场1层,3123,58,8.7,8.6,8.6,正宗朝鲜冷面 七八羊肉串,116.4946707,39.86598336
293,鸭哒·鸭头火锅小龙虾(五道口清华店),火锅,双清路88号,832,90,8.7,9,9.1,鸭虾比翼锅 干锅鸭头,116.3285197,39.99513464
294,东来顺(朝阳双井店),火锅,东三环中路18号东环国际大厦3层,8347,100,8.5,7.9,7.9,羊肉双拼 传统秘制麻酱小料,116.4562673,39.89522664
295,清真·北纬三十六度火锅料理(望京店),火锅,望京北路望京华彩商业中心B1,351,108,8.9,9,9,自助小料 循化辣子纯红锅,116.4632101,40.00972652
296,花园老北京铜锅涮肉,火锅,利泽中街望京花园东区212号楼底商,474,95,9.1,8.5,9,精品手切鲜羊肉 精品羊肉上脑,116.4699735,40.00709762
297,常赢三兄弟涮肉(陆港城总店),火锅,朝阳北路陆港城一楼,1128,119,9.1,8.7,8.4,羊腱子 麻酱,116.5854763,39.92306401
298,兰亭猪手火锅,火锅,鼓楼东大街232号,3228,104,8.3,8.3,7.9,木瓜猪手锅 玉米,116.3924834,39.93908354
299,井格重庆火锅(国瑞城店),火锅,崇文门大街18号国瑞城购物中心3层,461,131,8.9,8.5,8.5,麻辣牛肉 井格双脆,116.4131003,39.89609987
300,九记牛莊潮汕鲜牛肉火锅(西单店),火锅,西单北大街109号西单婚庆楼7层,369,121,9,9.1,9.1,吊龙 嫩肉,116.3665862,39.90936459
301,赤火锅 RED BOWL,火锅,呼家楼京广中心北京瑰丽酒店1楼,711,450,8.3,9.3,9,荔枝苏打水 蟹柳,116.4544819,39.91877622
302,三董小川堂串串香火锅,火锅,祁家豁子9号,583,80,9,8.5,8.6,麻辣嫩牛肉 红糖冰粉,116.3756264,39.97859287
303,凤王府成都火锅,火锅,杏石口路80号,702,127,9.2,9.3,9.2,嫩牛肉 王府赌场毛肚,116.2200461,39.95290397
304,彩云之巅蘑菇宴火锅,火锅,马连道路18号山水S酒店2层,76,113,9.1,9.2,9.2,清远鸡山珍宝 蘑菇汤,116.3215629,39.87549417
305,合喜庭院,火锅,庆园街12号,175,102,8.8,8.8,8.8,手工虾滑 毛肚,116.6289072,40.31093293
306,沸炉鲜货火锅·小龙虾(牡丹园店),火锅,花园路2号翠微百货西门往北20米,1963,113,9,8.9,9,金牌毛肚 现炸酥肉,116.360679,39.97584522
307,姚记羊蝎子(回龙观店),火锅,育知西路风雅园三区3号楼底商速8酒店楼下,1597,76,9.1,8.7,8.7,羊蝎子 自制豆腐,116.3195823,40.07874567
308,有范儿串串香火锅(科丰桥店),火锅,邻枫路5号地铁九号线科怡路站A出口西600米,549,79,8.5,8,8.2,私房嫩牛肉 掌中宝,116.2909765,39.82623672
309,前后涮羊肉(紫竹桥店),火锅,紫竹院路紫竹桥西青东商务区A座2层,651,127,9,9,9,沙葱羊肉 加钙羊肉,116.3036926,39.94036098
310,醉香苑老北京火锅(南新仓店),火锅,东四十条22号,2110,115,9,9.1,9,手切鲜羊肉 麻辣料,116.424969,39.93031168
311,银滩金汤·密味(四惠店),火锅,高碑店1118号惠河南街盛世龙源酒吧苑13号,997,216,9.3,9.1,9.1,竹荪 鲜活鲍鱼,116.5041619,39.9046501
312,亮健容天土锅羊蝎子(净土胡同总店),火锅,安定门内大街净土胡同8号,2310,86,9.2,7.9,8.7,羊蝎子 手工面片,116.3959313,39.94395416
313,阿易婆港式火锅,火锅,甜水园路甲1号南侧,576,315,9,9.1,8.9,花胶鸡煲 炸粟米,116.472461,39.9250043
314,泽成冰煮羊火锅(住总万科广场店),火锅,东马路万科广场5层F5014,288,87,9.1,9.2,9.1,羊肉串 血肠,116.4535538,39.80454914
315,甲丁-堤岸打边炉,火锅,酒仙桥路将台乡政府对面,768,131,8.8,8.1,8.7,牛肉丸 鲜虾,116.4829648,39.96747715
316,王家渡火锅店(奥运村店),火锅,北辰东路慧忠北里413号楼,3620,150,8.7,8.4,8,番茄锅底 自制虾滑,116.3973056,40.00137295
317,鲸一食堂(世贸天阶店),日本菜,光华路9号世贸天阶东广场,342,98,7.8,8.6,7.9,招牌温泉蛋牛油果 招牌鸡碎饭,116.4471861,39.91491776
318,东来顺饭庄(华龙街店),火锅,南河沿大街华龙街E座,4443,162,8.6,8.4,8.1,传统手切涮羊肉 传统羊肉串,116.4009282,39.91050361
319,诸鲜火锅自助餐厅(银座和谐广场店),自助餐,万丰路68号银座商城5楼,683,60,8.2,7.7,7.8,乌鸡肉卷 大虾,116.2906887,39.88081719
320,丽江庭院之午后阳光(朝内店),火锅,内务部街1号,4347,167,8.8,9.1,9,斑鱼片 芝士丸,116.4199399,39.9181973
321,天颐隆火锅店(石景山店),火锅,鲁谷东路30号,1280,100,9.1,8.9,8.9,蘑菇宴 烧饼,116.2277896,39.88901435
322,東門故事,火锅,西直门外大街18号金贸大厦A座B1层,1237,117,8.5,9,8.7,菌汤鸳鸯锅底 空运毛肚,116.3423846,39.93743141
323,食御三一八·烤涮一体,火锅,小汤山镇尚信村328号,174,122,9.2,9.1,9.2,精品手切牦牛肉 野生菌土鸡锅,116.3819215,40.13052715
324,朱题·猪手火锅(将台路店),火锅,将台路高家园二区进南门20米路东侧,1252,104,9.1,8.6,8.8,木瓜锅底 凝脂蹄花,116.4800038,39.9772548
325,田源鸡火锅(劲松桥店),火锅,南磨房路37号华腾北塘商务大厦-201室,2985,82,8.7,8.1,8.5,田源鸡 炸豆皮,116.4611544,39.88378814
326,小龙坎老火锅(常营店),火锅,朝阳北路常营地铁站C口东50米,199,122,8.7,8.6,7.6,鲜毛肚 冰球鹅肠,116.5759787,39.92730486
327,蜀千千串串香火锅(簋街店原东四店),火锅,东直门内大街160号,2385,92,8.6,8.4,8.4,麻辣牛肉 鸳鸯锅底,116.4181192,39.93942213
328,炎神·鲜牛肉火锅(亦庄店),火锅,天华东路亦庄林肯公园c区25号楼102室,868,120,9,9.1,8.7,鲜吊龙 鲜牛肉,116.4883956,39.803216
329,王家渡火锅店(亦庄店),火锅,亦庄经济技术开发区宏达北路18号大地大厦三层,2205,144,9,9,8.6,自制虾滑 番茄锅底,116.5051841,39.79635052
330,紫龍火锅(五棵松店),火锅,复兴路69号蓝色港湾购物中心北区6层,1241,122,9,9,8.6,紫龙招牌老肉片 鸳鸯锅,116.4676494,39.94809697
331,潮黄记潮汕牛肉火锅(常营店),火锅,常营地铁站C口东50米,494,130,9,9,9,手打生牛肉丸 吊龙伴,116.5759787,39.92730486
332,签上签串串香(石佛营店),火锅,八里庄北里129号院保利东郡9号楼底商9-6号,2531,89,9,8.9,9,串串香 招牌牛肉,116.4956183,39.92742553
333,鑫方老鸭汤火锅·羊蝎子(知春路店),火锅,罗庄西里7号楼,968,75,9.1,8.4,9,酸萝卜老鸭锅 内蒙羔羊,116.3383868,39.97217437
334,大牛悟·吊汤熟牛肉火锅,火锅,建外SOHO东区7号楼0714C,205,64,9,8.7,8.8,牛肉火锅 红烧牛肉小锅米线,116.4521448,39.90373878
335,唇辣号重庆老火锅(亦庄店),火锅,亦庄林肯公园B区10号楼107底商,412,132,9,8.8,9,巴蜀嫩牛肉 屠场鲜鸭血,116.4886902,39.80404641
336,蜀神砂器串串香(彩虹新城店),火锅,兴华北路二段78号院56号,427,89,9.1,8.9,8.7,蜀神鸳鸯锅底 香菜牛肉,116.3319442,39.7467051
337,香草香草云南原生态火锅(麒麟新天地店),火锅,阜通西大街11号麒麟新天地2层,2407,129,9,9.1,9,菌王奇香锅 建水香豆腐,116.4717321,39.99581813
338,芦月轩羊蝎子(劲松店),火锅,农光南里1号楼底商,741,90,9,8.9,8.8,羊蝎子小锅 小芦炸窝头,116.4560322,39.87839371
339,红火火美蛙鱼头,火锅,东直门外大街甲12号,316,113,8.5,9,9.1,招牌澳洲美蛙 酒酿小汤圆,116.4486235,39.93956744
340,杠上开花·串串香(五道口店),火锅,五道口成府路29号国际食尚苑1期3层-3,564,71,9,8.4,8.7,麻辣牛肉 冒千层肚,116.3323845,39.99200861
341,胖嘟嘟老火锅,火锅,南二环永定门桃园东里15号,89,106,8.6,8.7,8.8,鸭肠 红糖糍粑,116.3988914,39.87018747
342,HI辣火锅(大悦城店),火锅,朝阳北路101号朝阳大悦城7层,14042,131,8.4,8.2,8.3,hi辣鱼 水上漂牛肉,116.5130868,39.92387755
343,好巴适·龙门阵串串香(东直门簋街店),火锅,东直门内大街222号,1150,91,9.1,8.5,9.1,麻辣牛肉 蒜泥香油碟,116.414184,39.93938766
344,食神锅奉行(西单店),火锅,华远街9号 置地星座15-1号,635,567,8.9,9.1,9,阿根廷红虾 金汤王,116.3645853,39.90814466
345,鸦儿李记(银锭桥店),火锅,鼓楼烟袋斜街甲75号,243,96,8.9,8.7,8.5,手切鲜羊肉 羊肉串,116.3874532,39.93774158
346,小猫鱼捞(回龙观店),火锅,回龙观西大街聚乐汇18号东二层,506,96,8.8,9,8.5,涮乌鱼片 烤鹌鹑蛋,116.3267514,40.07745493
347,京虎门爆肚涮肉(广渠门店),火锅,广渠门内大街29号红都大厦2层,704,111,9,9,8.3,手切鲜羊后腿肉 水爆鲜牛百叶,116.4284876,39.89266182
348,黄门老灶火锅(亚运村店),火锅,慧忠北路慧忠里231号,1001,131,8.8,8.5,8.5,黄门嫩牛肉 极鲜鸭血,116.3996855,39.99758211
349,虾吃虾涮(国瑞购物中心店),火锅,崇文门外大街18号国瑞购物中心G楼,2576,89,8.9,8.5,8.5,招牌中锅虾 小料,116.4136408,39.89681833
350,一岚一山(公益西桥分店),火锅,马家堡西路32号院7号楼底商,136,67,8.6,8.5,8.9,金牌鸡翅 杠上脑花,116.365389,39.83803435
351,新辣道鱼火锅(国瑞购物中心店),火锅,崇外大街18号1幢,4716,117,8.7,8.6,8.4,红汤梭边鱼锅 太阳鱼籽虾滑,116.412897,39.89705169
352,巴蜀大当家老火锅(周庄嘉园旗舰店),火锅,小武基路10号,361,126,9.1,9.2,9.1,当家鲜毛肚 雪花肥牛,116.484615,39.86567429
353,鼎鲜渔掌门养生火锅,火锅,北土城东路惠新里248号,2196,96,9,8.7,9,鼎鲜招牌斑鱼片 海白虾,116.4149788,39.97595035
354,轻机厂小郡肝罐罐串串(五路居店),火锅,玲珑路恩济西园10号楼底商,132,99,8.8,8.5,8.4,麻辣牛肉 不老牛肉,116.2765936,39.93103079
355,芦月轩羊蝎子(刘家窑店),火锅,刘家窑横七条16号院3号楼,3832,81,8.9,8,8,普通羊蝎子 炸腐竹,116.4179798,39.85460268
356,尚尚仙??猪肚鸡火锅(华联万柳购物中心店),火锅,巴沟路2号华联万柳购物中心5层,130,105,8.3,8.8,8.1,尚尚仙胡椒猪肚鸡锅 水上漂嫩牛肉,116.2897705,39.97281252
357,唇辣号重庆老火锅(六道口店),火锅,清华东路艺海大厦1层,1234,104,8.9,9.1,8.9,孜然麻辣牛肉 屠场鲜鸭血,116.3435074,39.99888212
358,汉釜宫旗舰店(丽泽桥店),烧烤,西三环南路甲27号居然之家丽泽店5层,142,107,8.9,9,9.2,黑牛小排 辣味五花肉,116.3042598,39.87063396
359,43号铜锅涮府,火锅,广和东三路双花园南里三区23号楼底商102,186,104,8.8,9.1,9.1,内蒙现串羊肉串 手切鲜羊上脑,116.4523139,39.89835166
360,奇门涮肉坊(簋街总店),火锅,东直门内大街208号,1505,139,8.9,8.3,8.3,手切鲜羊肉 特色火烧,116.4151368,39.93944644
361,前后涮羊肉(志新东路店),火锅,志新东路14-2号,388,102,9,8.6,9,涮羊肉 麻将调料,116.3633007,39.99066786
